FTE-088,1,2,1
FTE-064,1,1,1
FTE-072,1,2,1
FTE-070,1,2,1
FTE-082,1,2,1
FTE-055,1,2,1
FTE-071,1,1,1
FTE-052,1,2,1
FTE-013,1,2,1
FTE-065,1,2,1
FTE-025,1,2,1
FTE-042,1,2,1
FTE-061,1,2,1
FTE-098,1,2,1
FTE-004,1,2,1
FTE-099,1,2,1
FTE-007,1,2,1
FTE-047,1,1,1
FTE-046,1,1,1
FTE-056,1,2,1
FTE-038,1,2,1
FTE-022,1,2,1
FTE-058,1,2,1
FTE-090,1,2,1
FTE-009,1,2,1
FTE-014,1,1,1
FTE-092,1,2,1
FTE-093,1,1,1
FTE-037,1,2,1
FTE-011,1,2,1
FTE-005,1,2,1
FTE-054,1,2,1
FTE-074,1,1,2
FTE-075,1,2,1
FTE-077,1,2,1
FTE-078,1,2,1
FTE-096,1,2,1
FTE-084,1,2,1
FTE-079,1,2,1
FTE-018,1,2,1
FTE-043,1,2,1
FTE-085,1,2,1
FTE-017,1,2,1
FTE-034,1,2,1
FTE-063,1,2,1
FTE-059,1,2,1
FTE-053,1,2,1
FTE-068,1,2,1
FTE-029,1,2,1
FTE-051,1,2,1
FTE-044,1,2,1
FTE-094,1,2,1
FTE-006,1,2,2
FTE-057,1,2,1
FTE-040,1,2,1
FTE-032,1,2,1
FTE-050,1,2,1
FTE-024,1,2,1
FTE-023,1,2,1
FTE-073,1,2,1
FTE-015,1,2,1
FTE-026,1,2,1
FTE-062,1,2,1
FTE-012,1,2,1
FTE-076,1,2,1
FTE-066,1,2,1
FTE-021,1,2,1
FTE-086,1,2,1
FTE-028,1,2,1
FTE-080,1,2,1
FTE-100,1,2,1
FTE-020,1,2,1
FTE-060,1,2,1
FTE-045,1,2,1
FTE-067,1,2,1
FTE-048,1,2,1
FTE-010,1,2,1
FTE-027,1,2,1
FTE-089,1,2,1
FTE-041,1,2,1
FTE-036,1,2,1
FTE-030,1,2,1
FTE-087,1,2,1
FTE-001,1,2,1
FTE-083,1,2,1
FTE-039,1,2,1
FTE-095,1,2,1
FTE-097,1,2,1
FTE-091,1,2,1
FTE-003,1,2,1
FTE-081,1,2,1
FTE-008,1,2,1
FTE-033,1,2,1
FTE-002,1,2,1
FTE-016,1,2,1
FTE-019,1,2,1
FTE-069,1,2,1
FTE-035,1,2,1
FTE-049,1,2,1
FTE-031,1,2,1
